	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.9357	6.2014	6.456	-3.3893	0.	0.	8.0731	6.456	6.3989e-002	8.0091	7.3355
Bending (Inside)	-4.8882	13.767	1.8065	0.	0.	0.	13.767	1.8065	-4.8882	18.655	16.369
Bending (Outside)	-1.9594	-13.436	-1.8065	0.	0.	0.	-1.8065	-1.9594	-13.436	11.629	11.554
Membrane+Bending (Inside)	-2.9525	19.969	8.2625	-3.3893	0.	0.	20.459	8.2625	-3.4432	23.902	20.702
Membrane+Bending (Center)	-1.4881	6.3671	6.456	-3.3893	0.	0.	7.6273	6.456	-2.7483	10.376	9.8424
Membrane+Bending (Outside)	-2.3685e-002	-7.2344	4.6496	-3.3893	0.	0.	4.6496	1.3193	-8.5774	13.227	11.916
Peak (Inside)	4.6566e-016	6.545	-0.25428	1.7661	0.	0.	6.9912	-0.25428	-0.44614	7.4373	7.3432
Peak (Center)	4.0048	-1.847	-0.29302	3.7514e-002	0.	0.	4.005	-0.29302	-1.8472	5.8522	5.2506
Peak (Outside)	5.8208e-017	1.8461	0.2754	3.662	0.	0.	4.6996	0.2754	-2.8535	7.5531	6.5732
Total (Inside)	-2.9525	26.514	8.0082	-1.6232	0.	0.	26.603	8.0082	-3.0417	29.644	25.949
Total (Center)	2.5167	4.5201	6.163	-3.3518	0.	0.	7.0166	6.163	2.0123e-002	6.9965	6.6112
Total (Outside)	-2.3685e-002	-5.3884	4.925	0.27275	0.	0.	4.925	-9.854e-003	-5.4022	10.327	8.9465

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.07	36.417	0.	8.0731	13.767	20.459	6.9912	26.603
0.10431	42.137	36.337	0.	8.0731	13.2	19.906	5.8824	25.773
0.20861	42.203	36.256	0.	8.0731	12.634	19.353	6.6293	25.398
0.31292	42.27	36.176	0.	8.0731	12.067	18.801	8.2437	25.348
0.41723	42.336	36.096	0.	8.0731	11.5	18.25	7.9845	23.715
0.52154	42.403	36.015	0.	8.0731	10.934	17.7	7.7434	21.927
0.62584	42.469	35.935	0.	8.0731	10.367	17.15	7.9894	20.553
0.73015	42.536	35.854	0.	8.0731	9.8001	16.602	8.1222	19.447
0.83446	42.602	35.774	0.	8.0731	9.2334	16.055	7.8057	18.261
0.93876	42.669	35.694	0.	8.0731	8.6666	15.509	7.572	17.048
1.0431	42.735	35.613	0.	8.0731	8.0999	14.965	7.4357	15.919
1.1474	42.802	35.533	0.	8.0731	7.5332	14.422	7.1024	15.039
1.2517	42.868	35.453	0.	8.0731	6.9664	13.881	6.8148	14.182
1.356	42.935	35.372	0.	8.0731	6.3997	13.342	6.568	13.346
1.4603	43.001	35.292	0.	8.0731	5.833	12.805	6.3121	12.6
1.5646	43.067	35.211	0.	8.0731	5.2662	12.271	6.0393	11.934
1.6689	43.134	35.131	0.	8.0731	4.6995	11.739	5.7902	11.278
1.7732	43.2	35.051	0.	8.0731	4.1328	11.209	5.5636	10.632
1.8775	43.267	34.97	0.	8.0731	3.5661	10.684	5.3087	10.065
1.9818	43.333	34.89	0.	8.0731	2.9993	10.162	5.0668	9.5167
2.0861	43.4	34.81	0.	8.0731	2.4326	9.6438	4.8476	8.9769
2.1904	43.466	34.729	0.	8.0731	1.8659	9.1307	4.6436	8.4539
