S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	42.4	37.57	0.	799.98
0.10417	42.504	37.57	0.	799.93
0.20833	42.608	37.57	0.	799.89
0.3125	42.712	37.57	0.	799.85
0.41667	42.817	37.57	0.	799.81
0.52083	42.921	37.57	0.	799.76
0.625	43.025	37.57	0.	799.72
0.72917	43.129	37.57	0.	799.68
0.83333	43.233	37.57	0.	799.64
0.9375	43.337	37.57	0.	799.6
1.0417	43.442	37.57	0.	799.57
1.1458	43.546	37.57	0.	799.53
1.25	43.65	37.57	0.	799.49
1.3542	43.754	37.57	0.	799.45
1.4583	43.858	37.57	0.	799.42
1.5625	43.962	37.57	0.	799.38
1.6667	44.067	37.57	0.	799.35
1.7708	44.171	37.57	0.	799.31
1.875	44.275	37.57	0.	799.28
1.9792	44.379	37.57	0.	799.24
2.0833	44.483	37.57	0.	799.21
2.1875	44.587	37.57	0.	799.18
2.2917	44.692	37.57	0.	799.15
2.3958	44.796	37.57	0.	799.11
2.5	44.9	37.57	0.	799.08
2.6042	45.004	37.57	0.	799.05
2.7083	45.108	37.57	0.	799.02
2.8125	45.212	37.57	0.	798.99
2.9167	45.317	37.57	0.	798.96
3.0208	45.421	37.57	0.	798.93
3.125	45.525	37.57	0.	798.9
3.2292	45.629	37.57	0.	798.87
3.3333	45.733	37.57	0.	798.84
3.4375	45.837	37.57	0.	798.81
3.5417	45.942	37.57	0.	798.78
3.6458	46.046	37.57	0.	798.75
3.75	46.15	37.57	0.	798.72
3.8542	46.254	37.57	0.	798.7
3.9583	46.358	37.57	0.	798.67
4.0625	46.462	37.57	0.	798.64
4.1667	46.567	37.57	0.	798.61
4.2708	46.671	37.57	0.	798.59
4.375	46.775	37.57	0.	798.56
4.4792	46.879	37.57	0.	798.53
4.5833	46.983	37.57	0.	798.51
4.6875	47.087	37.57	0.	798.48
4.7917	47.192	37.57	0.	798.45
4.8958	47.296	37.57	0.	798.43
5.	47.4	37.57	0.	798.4
