S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	42.07	36.417	0.	799.98
0.10431	42.137	36.337	0.	799.93
0.20861	42.203	36.256	0.	799.89
0.31292	42.27	36.176	0.	799.84
0.41723	42.336	36.096	0.	799.79
0.52154	42.403	36.015	0.	799.75
0.62584	42.469	35.935	0.	799.71
0.73015	42.536	35.854	0.	799.67
0.83446	42.602	35.774	0.	799.63
0.93876	42.669	35.694	0.	799.59
1.0431	42.735	35.613	0.	799.55
1.1474	42.802	35.533	0.	799.51
1.2517	42.868	35.453	0.	799.47
1.356	42.935	35.372	0.	799.44
1.4603	43.001	35.292	0.	799.4
1.5646	43.067	35.211	0.	799.37
1.6689	43.134	35.131	0.	799.33
1.7732	43.2	35.051	0.	799.3
1.8775	43.267	34.97	0.	799.27
1.9818	43.333	34.89	0.	799.23
2.0861	43.4	34.81	0.	799.2
2.1904	43.466	34.729	0.	799.17
2.2948	43.533	34.649	0.	799.14
2.3991	43.599	34.568	0.	799.11
2.5034	43.666	34.488	0.	799.07
2.6077	43.732	34.408	0.	799.04
2.712	43.799	34.327	0.	799.01
2.8163	43.865	34.247	0.	798.98
2.9206	43.932	34.167	0.	798.95
3.0249	43.998	34.086	0.	798.92
3.1292	44.065	34.006	0.	798.89
3.2335	44.131	33.925	0.	798.87
3.3378	44.198	33.845	0.	798.84
3.4421	44.264	33.765	0.	798.81
3.5464	44.331	33.684	0.	798.78
3.6507	44.397	33.604	0.	798.75
3.7551	44.464	33.524	0.	798.73
3.8594	44.53	33.443	0.	798.7
3.9637	44.597	33.363	0.	798.67
4.068	44.663	33.282	0.	798.64
4.1723	44.73	33.202	0.	798.62
4.2766	44.796	33.122	0.	798.59
4.3809	44.863	33.041	0.	798.56
4.4852	44.929	32.961	0.	798.54
4.5895	44.995	32.881	0.	798.51
4.6938	45.062	32.8	0.	798.49
4.7981	45.128	32.72	0.	798.46
4.9024	45.195	32.64	0.	798.44
5.0067	45.261	32.559	0.	798.41
