S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.	2.1337e-013	0.	801.91
0.10629	15.106	-2.4397e-003	0.	802.47
0.21257	15.213	-4.8795e-003	0.	802.82
0.31886	15.319	-7.3192e-003	0.	802.97
0.42515	15.425	-9.759e-003	0.	802.95
0.53144	15.531	-1.2199e-002	0.	802.94
0.63772	15.638	-1.4638e-002	0.	802.89
0.74401	15.744	-1.7078e-002	0.	802.8
0.8503	15.85	-1.9518e-002	0.	802.68
0.95659	15.956	-2.1958e-002	0.	802.57
1.0629	16.063	-2.4397e-002	0.	802.44
1.1692	16.169	-2.6837e-002	0.	802.32
1.2754	16.275	-2.9277e-002	0.	802.19
1.3817	16.381	-3.1717e-002	0.	802.06
1.488	16.488	-3.4156e-002	0.	801.94
1.5943	16.594	-3.6596e-002	0.	801.82
1.7006	16.7	-3.9036e-002	0.	801.7
1.8069	16.806	-4.1476e-002	0.	801.59
1.9132	16.913	-4.3915e-002	0.	801.48
2.0195	17.019	-4.6355e-002	0.	801.38
2.1257	17.125	-4.8795e-002	0.	801.28
2.232	17.231	-5.1235e-002	0.	801.18
2.3383	17.338	-5.3674e-002	0.	801.08
2.4446	17.444	-5.6114e-002	0.	800.99
2.5509	17.55	-5.8554e-002	0.	800.91
2.6572	17.656	-6.0994e-002	0.	800.82
2.7635	17.763	-6.3433e-002	0.	800.74
2.8698	17.869	-6.5873e-002	0.	800.66
2.976	17.975	-6.8313e-002	0.	800.59
3.0823	18.082	-7.0753e-002	0.	800.51
3.1886	18.188	-7.3192e-002	0.	800.44
3.2949	18.294	-7.5632e-002	0.	800.37
3.4012	18.4	-7.8072e-002	0.	800.31
3.5075	18.507	-8.0511e-002	0.	800.25
3.6138	18.613	-8.2951e-002	0.	800.18
3.7201	18.719	-8.5391e-002	0.	800.13
3.8263	18.825	-8.7831e-002	0.	800.07
3.9326	18.932	-9.027e-002	0.	800.01
4.0389	19.038	-9.271e-002	0.	799.96
4.1452	19.144	-9.515e-002	0.	799.91
4.2515	19.25	-9.759e-002	0.	799.86
4.3578	19.357	-0.10003	0.	799.81
4.4641	19.463	-0.10247	0.	799.77
4.5704	19.569	-0.10491	0.	799.73
4.6766	19.675	-0.10735	0.	799.68
4.7829	19.782	-0.10979	0.	799.64
4.8892	19.888	-0.11223	0.	799.6
4.9955	19.994	-0.11467	0.	799.57
5.1018	20.1	-0.11711	0.	799.53
