S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.178	-1.0635	0.	807.92
0.10815	15.286	-1.0648	0.	807.02
0.2163	15.395	-1.0661	0.	806.25
0.32445	15.503	-1.0674	0.	805.61
0.4326	15.611	-1.0687	0.	805.03
0.54075	15.719	-1.07	0.	804.5
0.6489	15.827	-1.0713	0.	804.06
0.75705	15.935	-1.0726	0.	803.69
0.8652	16.043	-1.0739	0.	803.35
0.97335	16.151	-1.0752	0.	803.05
1.0815	16.26	-1.0765	0.	802.79
1.1897	16.368	-1.0778	0.	802.54
1.2978	16.476	-1.0791	0.	802.32
1.406	16.584	-1.0804	0.	802.12
1.5141	16.692	-1.0817	0.	801.93
1.6223	16.8	-1.0829	0.	801.76
1.7304	16.908	-1.0842	0.	801.59
1.8386	17.017	-1.0855	0.	801.44
1.9467	17.125	-1.0868	0.	801.3
2.0549	17.233	-1.0881	0.	801.16
2.163	17.341	-1.0894	0.	801.04
2.2712	17.449	-1.0907	0.	800.92
2.3793	17.557	-1.092	0.	800.8
2.4875	17.665	-1.0933	0.	800.7
2.5956	17.774	-1.0946	0.	800.6
2.7038	17.882	-1.0959	0.	800.5
2.8119	17.99	-1.0972	0.	800.41
2.9201	18.098	-1.0985	0.	800.32
3.0282	18.206	-1.0998	0.	800.23
3.1364	18.314	-1.1011	0.	800.15
3.2445	18.422	-1.1024	0.	800.08
3.3527	18.531	-1.1037	0.	800.
3.4608	18.639	-1.105	0.	799.93
3.569	18.747	-1.1063	0.	799.86
3.6771	18.855	-1.1076	0.	799.8
3.7853	18.963	-1.1089	0.	799.73
3.8934	19.071	-1.1102	0.	799.67
4.0016	19.179	-1.1115	0.	799.61
4.1097	19.288	-1.1128	0.	799.56
4.2179	19.396	-1.114	0.	799.5
4.326	19.504	-1.1153	0.	799.45
4.4342	19.612	-1.1166	0.	799.4
4.5423	19.72	-1.1179	0.	799.35
4.6505	19.828	-1.1192	0.	799.3
4.7586	19.936	-1.1205	0.	799.26
4.8668	20.045	-1.1218	0.	799.21
4.9749	20.153	-1.1231	0.	799.17
5.0831	20.261	-1.1244	0.	799.13
5.1912	20.369	-1.1257	0.	799.09
