	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.99967	6.5186	16.875	7.2358e-004	0.	0.	16.875	6.5186	-0.99967	17.875	15.545
Bending (Inside)	-0.99935	-3.1975	-2.0487	0.	0.	0.	-0.99935	-2.0487	-3.1975	2.1981	1.9043
Bending (Outside)	0.99973	3.0809	2.0487	0.	0.	0.	3.0809	2.0487	0.99973	2.0812	1.8024
Membrane+Bending (Inside)	-1.999	3.3211	14.827	7.2358e-004	0.	0.	14.827	3.3211	-1.999	16.826	14.896
Membrane+Bending (Center)	-0.99948	6.4603	16.875	7.2358e-004	0.	0.	16.875	6.4603	-0.99948	17.875	15.551
Membrane+Bending (Outside)	5.7707e-005	9.5995	18.924	7.2358e-004	0.	0.	18.924	9.5995	5.7653e-005	18.924	16.389
Peak (Inside)	0.	-6.2285e-002	-2.2373e-002	-1.1466e-003	0.	0.	2.11e-005	-2.2373e-002	-6.2306e-002	6.2327e-002	5.4684e-002
Peak (Center)	-5.2093e-004	2.8627e-002	1.8482e-002	2.898e-004	0.	0.	2.8629e-002	1.8482e-002	-5.2381e-004	2.9153e-002	2.5633e-002
Peak (Outside)	-1.2484e-017	-5.0196e-002	-3.8413e-002	-7.197e-004	0.	0.	1.0317e-005	-3.8413e-002	-5.0207e-002	5.0217e-002	4.5482e-002
Total (Inside)	-1.999	3.2588	14.804	-4.23e-004	0.	0.	14.804	3.2588	-1.999	16.803	14.888
Total (Center)	-1.	6.4889	16.894	1.0134e-003	0.	0.	16.894	6.4889	-1.	17.894	15.565
Total (Outside)	5.7707e-005	9.5493	18.886	3.8812e-006	0.	0.	18.886	9.5493	5.7707e-005	18.886	16.356

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.22	0.	15.545	1.9043	14.896	5.4684e-002	14.888
0.10417	42.504	126.22	0.	15.545	1.8271	14.919	4.8327e-002	14.911
0.20833	42.608	126.22	0.	15.545	1.7499	14.943	4.1953e-002	14.935
0.3125	42.712	126.22	0.	15.545	1.6727	14.967	3.559e-002	14.959
0.41667	42.817	126.22	0.	15.545	1.5955	14.991	2.9295e-002	14.982
0.52083	42.921	126.22	0.	15.545	1.5183	15.016	2.3187e-002	15.007
0.625	43.025	126.22	0.	15.545	1.4411	15.041	1.7561e-002	15.031
0.72917	43.129	126.22	0.	15.545	1.3639	15.066	1.3633e-002	15.058
0.83333	43.233	126.22	0.	15.545	1.2867	15.092	1.0004e-002	15.084
0.9375	43.337	126.22	0.	15.545	1.2095	15.118	6.9285e-003	15.112
1.0417	43.442	126.22	0.	15.545	1.1323	15.145	5.4426e-003	15.139
1.1458	43.546	126.22	0.	15.545	1.0551	15.172	6.7045e-003	15.168
1.25	43.65	126.22	0.	15.545	0.97791	15.199	9.6957e-003	15.196
1.3542	43.754	126.22	0.	15.545	0.90074	15.226	1.1464e-002	15.225
1.4583	43.858	126.22	0.	15.545	0.82357	15.254	1.3084e-002	15.255
1.5625	43.962	126.22	0.	15.545	0.7464	15.282	1.4923e-002	15.285
1.6667	44.067	126.22	0.	15.545	0.66925	15.311	1.6908e-002	15.315
1.7708	44.171	126.22	0.	15.545	0.59212	15.339	1.8995e-002	15.345
1.875	44.275	126.22	0.	15.545	0.51501	15.369	2.1154e-002	15.376
1.9792	44.379	126.22	0.	15.545	0.43793	15.398	2.2408e-002	15.407
2.0833	44.483	126.22	0.	15.545	0.36092	15.428	2.302e-002	15.438
2.1875	44.587	126.22	0.	15.545	0.28401	15.458	2.3652e-002	15.469
2.2917	44.692	126.22	0.	15.545	0.20733	15.489	2.4299e-002	15.501
2.3958	44.796	126.22	0.	15.545	0.13128	15.519	2.496e-002	15.533
2.5	44.9	126.22	0.	15.545	5.8357e-002	15.551	2.5633e-002	15.565
2.6042	45.004	126.22	0.	15.545	3.8739e-002	15.582	2.5399e-002	15.597
2.7083	45.108	126.22	0.	15.545	0.10733	15.614	2.4449e-002	15.629
2.8125	45.212	126.22	0.	15.545	0.18293	15.646	2.3516e-002	15.661
2.9167	45.317	126.22	0.	15.545	0.25948	15.678	2.2601e-002	15.693
3.0208	45.421	126.22	0.	15.545	0.33633	15.711	2.1707e-002	15.726
3.125	45.525	126.22	0.	15.545	0.41332	15.744	2.0837e-002	15.758
3.2292	45.629	126.22	0.	15.545	0.49038	15.777	1.9603e-002	15.791
3.3333	45.733	126.22	0.	15.545	0.56748	15.811	1.7134e-002	15.824
3.4375	45.837	126.22	0.	15.545	0.64461	15.845	1.4684e-002	15.856
3.5417	45.942	126.22	0.	15.545	0.72175	15.879	1.2263e-002	15.889
3.6458	46.046	126.22	0.	15.545	0.79891	15.914	9.8849e-003	15.922
3.75	46.15	126.22	0.	15.545	0.87608	15.949	7.5834e-003	15.955
3.8542	46.254	126.22	0.	15.545	0.95326	15.984	4.8837e-003	15.988
3.9583	46.358	126.22	0.	15.545	1.0304	16.019	2.4447e-003	16.021
