	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.99907	6.5186	16.864	1.354e-003	0.	0.	16.864	6.5186	-0.99907	17.863	15.534
Bending (Inside)	-0.99407	-3.1966	-2.0736	0.	0.	0.	-0.99407	-2.0736	-3.1966	2.2026	1.9076
Bending (Outside)	0.99906	3.0801	2.0736	0.	0.	0.	3.0801	2.0736	0.99906	2.0811	1.8026
Membrane+Bending (Inside)	-1.9931	3.322	14.79	1.354e-003	0.	0.	14.79	3.322	-1.9931	16.783	14.857
Membrane+Bending (Center)	-0.99657	6.4604	16.864	1.354e-003	0.	0.	16.864	6.4604	-0.99657	17.86	15.537
Membrane+Bending (Outside)	-1.1725e-005	9.5988	18.937	1.354e-003	0.	0.	18.937	9.5988	-1.1916e-005	18.937	16.401
Peak (Inside)	0.	-5.8592e-002	-6.4505e-002	-1.2929e-003	0.	0.	2.8516e-005	-5.862e-002	-6.4505e-002	6.4534e-002	6.1802e-002
Peak (Center)	-3.4236e-003	2.8641e-002	2.786e-002	6.1793e-004	0.	0.	2.8653e-002	2.786e-002	-3.4355e-003	3.2088e-002	3.1699e-002
Peak (Outside)	1.2459e-017	-4.9961e-002	-5.1973e-002	-1.3208e-003	0.	0.	3.4892e-005	-4.9996e-002	-5.1973e-002	5.2008e-002	5.1048e-002
Total (Inside)	-1.9931	3.2634	14.726	6.1086e-005	0.	0.	14.726	3.2634	-1.9931	16.719	14.808
Total (Center)	-1.	6.489	16.891	1.9719e-003	0.	0.	16.891	6.489	-1.	17.891	15.563
Total (Outside)	-1.1725e-005	9.5488	18.885	3.3222e-005	0.	0.	18.885	9.5488	-1.1725e-005	18.885	16.355

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	125.72	0.	15.534	1.9076	14.857	6.1802e-002	14.808
0.10417	42.504	125.72	0.	15.534	1.8303	14.881	5.3544e-002	14.839
0.20833	42.608	125.72	0.	15.534	1.7531	14.906	4.5453e-002	14.871
0.3125	42.712	125.72	0.	15.534	1.6758	14.931	3.7529e-002	14.903
0.41667	42.817	125.72	0.	15.534	1.5985	14.956	2.9781e-002	14.935
0.52083	42.921	125.72	0.	15.534	1.5212	14.982	2.2234e-002	14.967
0.625	43.025	125.72	0.	15.534	1.444	15.008	1.4973e-002	15.
0.72917	43.129	125.72	0.	15.534	1.3667	15.035	1.0261e-002	15.03
0.83333	43.233	125.72	0.	15.534	1.2894	15.062	6.084e-003	15.06
0.9375	43.337	125.72	0.	15.534	1.2121	15.089	3.4374e-003	15.091
1.0417	43.442	125.72	0.	15.534	1.1349	15.116	5.266e-003	15.122
1.1458	43.546	125.72	0.	15.534	1.0576	15.144	9.1115e-003	15.153
1.25	43.65	125.72	0.	15.534	0.98036	15.173	1.3272e-002	15.184
1.3542	43.754	125.72	0.	15.534	0.90311	15.201	1.6093e-002	15.215
1.4583	43.858	125.72	0.	15.534	0.82586	15.23	1.8501e-002	15.245
1.5625	43.962	125.72	0.	15.534	0.74862	15.259	2.0866e-002	15.276
1.6667	44.067	125.72	0.	15.534	0.6714	15.289	2.319e-002	15.308
1.7708	44.171	125.72	0.	15.534	0.59418	15.319	2.5477e-002	15.339
1.875	44.275	125.72	0.	15.534	0.517	15.349	2.7729e-002	15.371
1.9792	44.379	125.72	0.	15.534	0.43984	15.38	2.8926e-002	15.403
2.0833	44.483	125.72	0.	15.534	0.36275	15.411	2.9508e-002	15.434
2.1875	44.587	125.72	0.	15.534	0.28575	15.442	3.0077e-002	15.466
2.2917	44.692	125.72	0.	15.534	0.20898	15.473	3.0631e-002	15.498
