	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.99953	6.5186	16.884	-3.0287e-005	0.	0.	16.884	6.5186	-0.99953	17.883	15.553
Bending (Inside)	-0.99547	-3.1975	-2.0292	0.	0.	0.	-0.99547	-2.0292	-3.1975	2.2021	1.9082
Bending (Outside)	0.99961	3.081	2.0292	0.	0.	0.	3.081	2.0292	0.99961	2.0814	1.8026
Membrane+Bending (Inside)	-1.995	3.321	14.855	-3.0287e-005	0.	0.	14.855	3.321	-1.995	16.85	14.92
Membrane+Bending (Center)	-0.99745	6.4603	16.884	-3.0287e-005	0.	0.	16.884	6.4603	-0.99745	17.881	15.557
Membrane+Bending (Outside)	8.3885e-005	9.5996	18.913	-3.0287e-005	0.	0.	18.913	9.5996	8.3884e-005	18.913	16.38
Peak (Inside)	0.	-5.8284e-002	4.5247e-002	2.8383e-003	0.	0.	4.5247e-002	1.379e-004	-5.8422e-002	0.10367	9.0032e-002
Peak (Center)	-2.5427e-003	2.8242e-002	1.1428e-002	3.6901e-005	0.	0.	2.8242e-002	1.1428e-002	-2.5427e-003	3.0785e-002	2.6698e-002
Peak (Outside)	4.0117e-017	-5.0189e-002	-2.7118e-002	1.209e-006	0.	0.	2.9122e-011	-2.7118e-002	-5.0189e-002	5.0189e-002	4.3512e-002
Total (Inside)	-1.995	3.2628	14.9	2.8081e-003	0.	0.	14.9	3.2628	-1.995	16.895	14.975
Total (Center)	-1.	6.4886	16.895	6.6134e-006	0.	0.	16.895	6.4886	-1.	17.895	15.566
Total (Outside)	8.3885e-005	9.5494	18.886	-2.9078e-005	0.	0.	18.886	9.5494	8.3885e-005	18.886	16.356

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.72	0.	15.553	1.9082	14.92	9.0032e-002	14.975
0.10417	42.504	126.72	0.	15.553	1.831	14.942	7.3712e-002	14.984
0.20833	42.608	126.72	0.	15.553	1.7537	14.965	5.7682e-002	14.994
0.3125	42.712	126.72	0.	15.553	1.6764	14.988	4.2274e-002	15.004
0.41667	42.817	126.72	0.	15.553	1.5991	15.012	2.8513e-002	15.015
0.52083	42.921	126.72	0.	15.553	1.5218	15.036	2.0124e-002	15.026
0.625	43.025	126.72	0.	15.553	1.4445	15.06	1.9647e-002	15.043
0.72917	43.129	126.72	0.	15.553	1.3672	15.085	1.7424e-002	15.068
0.83333	43.233	126.72	0.	15.553	1.2899	15.11	1.5941e-002	15.094
0.9375	43.337	126.72	0.	15.553	1.2127	15.135	1.5413e-002	15.12
1.0417	43.442	126.72	0.	15.553	1.1354	15.161	1.5935e-002	15.146
1.1458	43.546	126.72	0.	15.553	1.0581	15.187	1.7413e-002	15.173
1.25	43.65	126.72	0.	15.553	0.98082	15.213	1.9124e-002	15.201
1.3542	43.754	126.72	0.	15.553	0.90355	15.24	1.9429e-002	15.23
1.4583	43.858	126.72	0.	15.553	0.82629	15.267	2.0096e-002	15.259
1.5625	43.962	126.72	0.	15.553	0.74903	15.294	2.1091e-002	15.288
1.6667	44.067	126.72	0.	15.553	0.67179	15.322	2.237e-002	15.318
1.7708	44.171	126.72	0.	15.553	0.59456	15.35	2.3886e-002	15.349
1.875	44.275	126.72	0.	15.553	0.51735	15.379	2.5599e-002	15.379
1.9792	44.379	126.72	0.	15.553	0.44017	15.408	2.6205e-002	15.41
2.0833	44.483	126.72	0.	15.553	0.36304	15.437	2.6146e-002	15.44
2.1875	44.587	126.72	0.	15.553	0.28601	15.466	2.6167e-002	15.471
2.2917	44.692	126.72	0.	15.553	0.20919	15.496	2.6267e-002	15.503
