	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	0.803	6.5207	6.1326	2.6141	0.	0.	7.5356	6.1326	-0.21196	7.7476	7.1501
Bending (Inside)	-2.9483	13.319	1.7271	0.	0.	0.	13.319	1.7271	-2.9483	16.268	14.507
Bending (Outside)	-0.81267	-12.834	-1.7271	0.	0.	0.	-0.81267	-1.7271	-12.834	12.021	11.591
Membrane+Bending (Inside)	-2.1453	19.84	7.8597	2.6141	0.	0.	20.147	7.8597	-2.4518	22.599	19.596
Membrane+Bending (Center)	-1.0775	6.7634	6.1326	2.6141	0.	0.	7.555	6.1326	-1.8691	9.424	8.7995
Membrane+Bending (Outside)	-9.6728e-003	-6.3134	4.4055	2.6141	0.	0.	4.4055	0.93329	-7.2564	11.662	10.371
Peak (Inside)	0.	1.7293	-0.56803	-2.5934	0.	0.	3.5984	-0.56803	-1.8691	5.4675	4.947
Peak (Center)	2.7204	-1.2979	-3.444e-002	0.44458	0.	0.	2.769	-3.444e-002	-1.3465	4.1155	3.6413
Peak (Outside)	-3.638e-018	1.0688	-0.10055	-2.6008	0.	0.	3.1895	-0.10055	-2.1207	5.3102	4.6424
Total (Inside)	-2.1453	21.57	7.2917	2.0683e-002	0.	0.	21.57	7.2917	-2.1453	23.715	20.68
Total (Center)	1.6429	5.4654	6.0982	3.0586	0.	0.	7.1609	6.0982	-5.2514e-002	7.2134	6.7451
Total (Outside)	-9.6728e-003	-5.2446	4.3049	1.3307e-002	0.	0.	4.3049	-9.639e-003	-5.2447	9.5496	8.283

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	7.1501	14.507	19.596	4.947	20.68
0.10417	42.504	37.57	0.	7.1501	13.969	19.092	3.5724	20.233
0.20833	42.608	37.57	0.	7.1501	13.431	18.59	2.5543	19.939
0.3125	42.712	37.57	0.	7.1501	12.893	18.09	2.2905	19.789
0.41667	42.817	37.57	0.	7.1501	12.356	17.593	2.2539	18.968
0.52083	42.921	37.57	0.	7.1501	11.819	17.099	2.6883	18.099
0.625	43.025	37.57	0.	7.1501	11.282	16.607	3.488	17.362
0.72917	43.129	37.57	0.	7.1501	10.745	16.118	3.9868	16.482
0.83333	43.233	37.57	0.	7.1501	10.21	15.633	4.3547	15.53
0.9375	43.337	37.57	0.	7.1501	9.6741	15.152	4.8001	14.629
1.0417	43.442	37.57	0.	7.1501	9.1393	14.675	5.0534	13.78
1.1458	43.546	37.57	0.	7.1501	8.6053	14.202	5.1409	12.979
1.25	43.65	37.57	0.	7.1501	8.0721	13.734	5.2748	12.225
1.3542	43.754	37.57	0.	7.1501	7.54	13.272	5.4046	11.539
1.4583	43.858	37.57	0.	7.1501	7.0092	12.816	5.3566	10.969
1.5625	43.962	37.57	0.	7.1501	6.4801	12.367	5.2887	10.414
1.6667	44.067	37.57	0.	7.1501	5.9529	11.925	5.2097	9.8753
1.7708	44.171	37.57	0.	7.1501	5.4285	11.492	5.1071	9.359
1.875	44.275	37.57	0.	7.1501	4.9075	11.068	4.9187	8.9104
1.9792	44.379	37.57	0.	7.1501	4.3913	10.655	4.7291	8.4774
2.0833	44.483	37.57	0.	7.1501	3.8818	10.254	4.54	8.0613
2.1875	44.587	37.57	0.	7.1501	3.3819	9.866	4.3531	7.6636
2.2917	44.692	37.57	0.	7.1501	2.8967	9.4931	4.1151	7.3358
2.3958	44.796	37.57	0.	7.1501	2.4349	9.1369	3.8746	7.0316
2.5	44.9	37.57	0.	7.1501	2.0128	8.7995	3.6413	6.7451
2.6042	45.004	37.57	0.	7.1501	1.6609	8.4832	3.4173	6.4785
2.7083	45.108	37.57	0.	7.1501	1.4319	8.1904	3.199	6.2384
2.8125	45.212	37.57	0.	7.1501	1.3881	7.9237	2.9469	6.0559
2.9167	45.317	37.57	0.	7.1501	1.5452	7.6858	2.7147	5.893
3.0208	45.421	37.57	0.	7.1501	1.8528	7.4795	2.5065	5.7517
3.125	45.525	37.57	0.	7.1501	2.2501	7.3074	2.3309	5.6259
3.2292	45.629	37.57	0.	7.1501	2.6976	7.1721	2.194	5.5205
3.3333	45.733	37.57	0.	7.1501	3.1743	7.0756	2.0968	5.4483
3.4375	45.837	37.57	0.	7.1501	3.6688	7.0195	2.0272	5.4103
3.5417	45.942	37.57	0.	7.1501	4.1747	7.0048	2.0014	5.4016
3.6458	46.046	37.57	0.	7.1501	4.6883	7.0318	2.0285	5.4199
3.75	46.15	37.57	0.	7.1501	5.2075	7.1	2.1066	5.465
3.8542	46.254	37.57	0.	7.1501	5.7306	7.2082	2.2372	5.5351
3.9583	46.358	37.57	0.	7.1501	6.2566	7.3546	2.3964	5.6346
4.0625	46.462	37.57	0.	7.1501	6.785	7.537	2.5762	5.7626
4.1667	46.567	37.57	0.	7.1501	7.3152	7.7529	2.7709	5.9173
4.2708	46.671	37.57	0.	7.1501	7.8468	7.9996	2.9877	6.1025
4.375	46.775	37.57	0.	7.1501	8.3795	8.2743	3.2137	6.3202
4.4792	46.879	37.57	0.	7.1501	8.9132	8.5743	3.4384	6.5657
4.5833	46.983	37.57	0.	7.1501	9.4477	8.8971	3.6623	6.8363
4.6875	47.087	37.57	0.	7.1501	9.9828	9.2403	3.9046	7.1516
4.7917	47.192	37.57	0.	7.1501	10.519	9.6016	4.1538	7.5048
4.8958	47.296	37.57	0.	7.1501	11.055	9.9792	4.3997	7.883
5.	47.4	37.57	0.	7.1501	11.591	10.371	4.6424	8.283
