	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.9357	6.2014	6.456	-3.3893	0.	0.	8.0731	6.456	6.3989e-002	8.0091	7.3355
Bending (Inside)	-4.8882	13.767	1.8065	0.	0.	0.	13.767	1.8065	-4.8882	18.655	16.369
Bending (Outside)	-1.9594	-13.436	-1.8065	0.	0.	0.	-1.8065	-1.9594	-13.436	11.629	11.554
Membrane+Bending (Inside)	-2.9525	19.969	8.2625	-3.3893	0.	0.	20.459	8.2625	-3.4432	23.902	20.702
Membrane+Bending (Center)	-1.4881	6.3671	6.456	-3.3893	0.	0.	7.6273	6.456	-2.7483	10.376	9.8424
Membrane+Bending (Outside)	-2.3685e-002	-7.2344	4.6496	-3.3893	0.	0.	4.6496	1.3193	-8.5774	13.227	11.916
Peak (Inside)	4.6566e-016	6.545	-0.25428	1.7661	0.	0.	6.9912	-0.25428	-0.44614	7.4373	7.3432
Peak (Center)	4.0048	-1.847	-0.29302	3.7514e-002	0.	0.	4.005	-0.29302	-1.8472	5.8522	5.2506
Peak (Outside)	5.8208e-017	1.8461	0.2754	3.662	0.	0.	4.6996	0.2754	-2.8535	7.5531	6.5732
Total (Inside)	-2.9525	26.514	8.0082	-1.6232	0.	0.	26.603	8.0082	-3.0417	29.644	25.949
Total (Center)	2.5167	4.5201	6.163	-3.3518	0.	0.	7.0166	6.163	2.0123e-002	6.9965	6.6112
Total (Outside)	-2.3685e-002	-5.3884	4.925	0.27275	0.	0.	4.925	-9.854e-003	-5.4022	10.327	8.9465

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.07	36.417	0.	7.3355	16.369	20.702	7.3432	25.949
0.10431	42.137	36.337	0.	7.3355	15.804	20.18	5.1497	24.086
0.20861	42.203	36.256	0.	7.3355	15.24	19.66	5.6222	23.154
0.31292	42.27	36.176	0.	7.3355	14.676	19.144	7.4558	22.907
0.41723	42.336	36.096	0.	7.3355	14.113	18.631	7.4624	21.053
0.52154	42.403	36.015	0.	7.3355	13.551	18.121	7.6029	19.048
0.62584	42.469	35.935	0.	7.3355	12.989	17.616	8.3584	17.551
0.73015	42.536	35.854	0.	7.3355	12.428	17.114	8.9073	16.457
0.83446	42.602	35.774	0.	7.3355	11.869	16.617	8.82	15.324
0.93876	42.669	35.694	0.	7.3355	11.311	16.125	8.8516	14.125
1.0431	42.735	35.613	0.	7.3355	10.754	15.638	9.0068	13.029
1.1474	42.802	35.533	0.	7.3355	10.199	15.158	8.7443	12.266
1.2517	42.868	35.453	0.	7.3355	9.6454	14.684	8.5391	11.526
1.356	42.935	35.372	0.	7.3355	9.0944	14.217	8.3862	10.811
1.4603	43.001	35.292	0.	7.3355	8.5463	13.758	8.1717	10.209
1.5646	43.067	35.211	0.	7.3355	8.0014	13.308	7.8862	9.7031
1.6689	43.134	35.131	0.	7.3355	7.4606	12.867	7.63	9.2119
1.7732	43.2	35.051	0.	7.3355	6.9248	12.437	7.4021	8.7379
1.8775	43.267	34.97	0.	7.3355	6.3953	12.019	7.0819	8.3585
1.9818	43.333	34.89	0.	7.3355	5.8737	11.615	6.7675	8.0044
2.0861	43.4	34.81	0.	7.3355	5.3624	11.224	6.4808	7.6646
2.1904	43.466	34.729	0.	7.3355	4.8646	10.85	6.2057	7.3502
