	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.997	6.5186	17.208	-4.336e-002	0.	0.	17.208	6.5188	-0.99725	18.205	15.846
Bending (Inside)	-0.9959	-3.1229	-2.0287	0.	0.	0.	-0.9959	-2.0287	-3.1229	2.127	1.8422
Bending (Outside)	0.99687	3.009	2.0287	0.	0.	0.	3.009	2.0287	0.99687	2.0122	1.7428
Membrane+Bending (Inside)	-1.9929	3.3957	15.179	-4.336e-002	0.	0.	15.179	3.3961	-1.9932	17.172	15.212
Membrane+Bending (Center)	-0.99651	6.4617	17.208	-4.336e-002	0.	0.	17.208	6.4619	-0.99676	18.205	15.851
Membrane+Bending (Outside)	-1.2594e-004	9.5276	19.237	-4.336e-002	0.	0.	19.237	9.5278	-3.2326e-004	19.237	16.66
Peak (Inside)	0.	-5.2137e-002	-5.6894e-002	4.2817e-002	0.	0.	2.406e-002	-5.6894e-002	-7.6197e-002	0.10026	9.2135e-002
Peak (Center)	-8.0151e-004	2.742e-002	2.7586e-002	-2.1646e-002	0.	0.	3.9148e-002	2.7586e-002	-1.253e-002	5.1678e-002	4.6976e-002
Peak (Outside)	-2.9004e-017	-5.7397e-002	-5.3555e-002	4.2946e-002	0.	0.	2.2954e-002	-5.3555e-002	-8.035e-002	0.1033	9.2853e-002
Total (Inside)	-1.9929	3.3436	15.122	-5.4237e-004	0.	0.	15.122	3.3436	-1.9929	17.115	15.168
Total (Center)	-0.99731	6.4891	17.236	-6.5005e-002	0.	0.	17.236	6.4896	-0.99788	18.233	15.874
Total (Outside)	-1.2594e-004	9.4702	19.183	-4.1372e-004	0.	0.	19.183	9.4702	-1.2596e-004	19.183	16.614

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	81.72	0.	15.846	1.8422	15.212	9.2135e-002	15.168
0.10417	42.504	81.72	0.	15.846	1.7676	15.235	8.2076e-002	15.196
0.20833	42.608	81.72	0.	15.846	1.6929	15.258	7.2002e-002	15.224
0.3125	42.712	81.72	0.	15.846	1.6182	15.281	6.1915e-002	15.252
0.41667	42.817	81.72	0.	15.846	1.5436	15.305	5.1826e-002	15.281
0.52083	42.921	81.72	0.	15.846	1.4689	15.33	4.1753e-002	15.31
0.625	43.025	81.72	0.	15.846	1.3942	15.354	3.3461e-002	15.338
0.72917	43.129	81.72	0.	15.846	1.3196	15.379	2.5778e-002	15.367
0.83333	43.233	81.72	0.	15.846	1.2449	15.405	1.8223e-002	15.396
0.9375	43.337	81.72	0.	15.846	1.1703	15.43	1.1007e-002	15.425
1.0417	43.442	81.72	0.	15.846	1.0956	15.456	5.5258e-003	15.455
1.1458	43.546	81.72	0.	15.846	1.021	15.482	7.0134e-003	15.484
1.25	43.65	81.72	0.	15.846	0.94631	15.509	1.1166e-002	15.513
1.3542	43.754	81.72	0.	15.846	0.87166	15.536	1.6014e-002	15.543
1.4583	43.858	81.72	0.	15.846	0.79703	15.563	2.1078e-002	15.572
1.5625	43.962	81.72	0.	15.846	0.7224	15.59	2.6229e-002	15.602
1.6667	44.067	81.72	0.	15.846	0.64778	15.618	3.1419e-002	15.633
1.7708	44.171	81.72	0.	15.846	0.57318	15.646	3.4382e-002	15.662
1.875	44.275	81.72	0.	15.846	0.49861	15.675	3.7141e-002	15.692
1.9792	44.379	81.72	0.	15.846	0.42407	15.703	3.9901e-002	15.722
2.0833	44.483	81.72	0.	15.846	0.34959	15.732	4.2655e-002	15.753
2.1875	44.587	81.72	0.	15.846	0.27522	15.761	4.5402e-002	15.784
2.2917	44.692	81.72	0.	15.846	0.20108	15.791	4.6467e-002	15.814
2.3958	44.796	81.72	0.	15.846	0.12756	15.821	4.6723e-002	15.844
2.5	44.9	81.72	0.	15.846	5.7148e-002	15.851	4.6976e-002	15.874
2.6042	45.004	81.72	0.	15.846	3.7601e-002	15.882	4.7225e-002	15.905
2.7083	45.108	81.72	0.	15.846	0.10352	15.912	4.7469e-002	15.936
2.8125	45.212	81.72	0.	15.846	0.17655	15.944	4.6638e-002	15.967
2.9167	45.317	81.72	0.	15.846	0.25056	15.975	4.4327e-002	15.997
3.0208	45.421	81.72	0.	15.846	0.32488	16.006	4.202e-002	16.028
3.125	45.525	81.72	0.	15.846	0.39933	16.038	3.9717e-002	16.059
3.2292	45.629	81.72	0.	15.846	0.47385	16.071	3.742e-002	16.09
3.3333	45.733	81.72	0.	15.846	0.54841	16.103	3.4142e-002	16.121
3.4375	45.837	81.72	0.	15.846	0.62301	16.136	2.9363e-002	16.151
3.5417	45.942	81.72	0.	15.846	0.69762	16.169	2.4603e-002	16.182
3.6458	46.046	81.72	0.	15.846	0.77224	16.202	1.9886e-002	16.213
3.75	46.15	81.72	0.	15.846	0.84687	16.236	1.5264e-002	16.244
3.8542	46.254	81.72	0.	15.846	0.92152	16.27	1.0603e-002	16.276
3.9583	46.358	81.72	0.	15.846	0.99616	16.304	5.6484e-003	16.306
4.0625	46.462	81.72	0.	15.846	1.0708	16.338	8.5398e-003	16.337
4.1667	46.567	81.72	0.	15.846	1.1455	16.373	1.5343e-002	16.367
4.2708	46.671	81.72	0.	15.846	1.2201	16.408	2.2787e-002	16.398
4.375	46.775	81.72	0.	15.846	1.2948	16.443	3.0404e-002	16.43
4.4792	46.879	81.72	0.	15.846	1.3694	16.479	3.9086e-002	16.461
4.5833	46.983	81.72	0.	15.846	1.4441	16.514	4.9742e-002	16.491
4.6875	47.087	81.72	0.	15.846	1.5188	16.55	6.047e-002	16.521
4.7917	47.192	81.72	0.	15.846	1.5934	16.587	7.124e-002	16.552
4.8958	47.296	81.72	0.	15.846	1.6681	16.623	8.2036e-002	16.583
5.	47.4	81.72	0.	15.846	1.7428	16.66	9.2853e-002	16.614
