	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.44906	-0.6706	-3.455	-3.0356e-002	0.	0.	-0.44497	-0.67468	-3.455	3.01	2.902
Bending (Inside)	-0.55587	-6.0871	-8.6553	0.	0.	0.	-0.55587	-6.0871	-8.6553	8.0994	7.1691
Bending (Outside)	0.8754	5.5246	8.6553	0.	0.	0.	8.6553	5.5246	0.8754	7.7799	6.7802
Membrane+Bending (Inside)	-1.0049	-6.7577	-12.11	-3.0356e-002	0.	0.	-1.0048	-6.7578	-12.11	11.105	9.6197
Membrane+Bending (Center)	-0.28929	-0.95181	-3.455	-3.0356e-002	0.	0.	-0.2879	-0.9532	-3.455	3.1671	2.8924
Membrane+Bending (Outside)	0.42635	4.8541	5.2003	-3.0356e-002	0.	0.	5.2003	4.8543	0.42614	4.7742	4.6109
Peak (Inside)	0.	0.34576	2.7744	0.66842	0.	0.	2.7744	0.8633	-0.51754	3.2919	2.8632
Peak (Center)	-0.30381	-0.11172	0.83127	0.12193	0.	0.	0.83127	-5.2545e-002	-0.36298	1.1943	1.0733
Peak (Outside)	0.	0.24197	-1.3937	-1.4352	0.	0.	1.5612	-1.3193	-1.3937	2.9549	2.9184
Total (Inside)	-1.0049	-6.4119	-9.3359	0.63807	0.	0.	-0.93065	-6.4862	-9.3359	8.4052	7.4038
Total (Center)	-0.5931	-1.0635	-2.6237	9.1578e-002	0.	0.	-0.5759	-1.0807	-2.6237	2.0478	1.8478
Total (Outside)	0.42635	5.096	3.8066	-1.4655	0.	0.	5.5179	3.8066	4.5165e-003	5.5133	4.8878

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.	2.1337e-013	0.	2.902	7.1691	9.6197	2.8632	7.4038
0.10629	15.106	-2.4397e-003	0.	2.902	6.8791	9.3324	1.7579	8.1426
0.21257	15.213	-4.8795e-003	0.	2.902	6.5892	9.0453	1.0446	8.8533
0.31886	15.319	-7.3192e-003	0.	2.902	6.2993	8.7584	1.2546	9.5209
0.42515	15.425	-9.759e-003	0.	2.902	6.0095	8.4717	1.7975	9.9146
0.53144	15.531	-1.2199e-002	0.	2.902	5.7196	8.1852	1.7123	9.5365
0.63772	15.638	-1.4638e-002	0.	2.902	5.4299	7.8991	1.6226	9.1529
0.74401	15.744	-1.7078e-002	0.	2.902	5.1402	7.6132	1.5293	8.7645
0.8503	15.85	-1.9518e-002	0.	2.902	4.8506	7.3277	1.3746	8.3213
0.95659	15.956	-2.1958e-002	0.	2.902	4.561	7.0426	1.1685	7.8298
1.0629	16.063	-2.4397e-002	0.	2.902	4.2716	6.758	0.97134	7.3385
1.1692	16.169	-2.6837e-002	0.	2.902	3.9823	6.4738	0.78992	6.8473
1.2754	16.275	-2.9277e-002	0.	2.902	3.6931	6.1902	0.65764	6.3828
1.3817	16.381	-3.1717e-002	0.	2.902	3.4041	5.9073	0.56987	5.9271
1.488	16.488	-3.4156e-002	0.	2.902	3.1154	5.6251	0.53728	5.4739
1.5943	16.594	-3.6596e-002	0.	2.902	2.8269	5.3437	0.56695	5.023
1.7006	16.7	-3.9036e-002	0.	2.902	2.5389	5.0634	0.62259	4.6151
1.8069	16.806	-4.1476e-002	0.	2.902	2.2515	4.7843	0.68843	4.2273
1.9132	16.913	-4.3915e-002	0.	2.902	1.9649	4.5065	0.77055	3.8371
2.0195	17.019	-4.6355e-002	0.	2.902	1.6796	4.2305	0.86547	3.4447
2.1257	17.125	-4.8795e-002	0.	2.902	1.3963	3.9565	0.92703	3.0958
2.232	17.231	-5.1235e-002	0.	2.902	1.1166	3.685	0.96445	2.7766
2.3383	17.338	-5.3674e-002	0.	2.902	0.84414	3.4165	1.0055	2.4575
2.4446	17.444	-5.6114e-002	0.	2.902	0.58889	3.152	1.05	2.1394
2.5509	17.55	-5.8554e-002	0.	2.902	0.3867	2.8924	1.0733	1.8478
2.6572	17.656	-6.0994e-002	0.	2.902	0.34757	2.6391	1.0602	1.6003
2.7635	17.763	-6.3433e-002	0.	2.902	0.51048	2.3944	1.0499	1.3614
2.8698	17.869	-6.5873e-002	0.	2.902	0.75425	2.1608	1.0425	1.138
2.976	17.975	-6.8313e-002	0.	2.902	1.0226	1.9427	1.0213	0.95811
3.0823	18.082	-7.0753e-002	0.	2.902	1.3004	1.7457	0.96587	0.85726
3.1886	18.188	-7.3192e-002	0.	2.902	1.5827	1.5778	0.91163	0.8174
3.2949	18.294	-7.5632e-002	0.	2.902	1.8674	1.4491	0.85879	0.8472
3.4012	18.4	-7.8072e-002	0.	2.902	2.1537	1.3707	0.78909	0.94957
3.5075	18.507	-8.0511e-002	0.	2.902	2.4408	1.3514	0.70217	1.0999
3.6138	18.613	-8.2951e-002	0.	2.902	2.7287	1.3936	0.61986	1.2721
3.7201	18.719	-8.5391e-002	0.	2.902	3.017	1.4922	0.54431	1.4583
3.8263	18.825	-8.7831e-002	0.	2.902	3.3056	1.637	0.46736	1.6634
3.9326	18.932	-9.027e-002	0.	2.902	3.5945	1.8169	0.40853	1.8827
4.0389	19.038	-9.271e-002	0.	2.902	3.8836	2.0227	0.39928	2.1036
4.1452	19.144	-9.515e-002	0.	2.902	4.1729	2.2472	0.44227	2.3258
4.2515	19.25	-9.759e-002	0.	2.902	4.4623	2.4853	0.54154	2.5614
4.3578	19.357	-0.10003	0.	2.902	4.7518	2.7336	0.71062	2.8257
4.4641	19.463	-0.10247	0.	2.902	5.0414	2.9894	0.90216	3.0947
4.5704	19.569	-0.10491	0.	2.902	5.3311	3.2511	1.1064	3.3684
4.6766	19.675	-0.10735	0.	2.902	5.6208	3.5172	1.3729	3.6723
4.7829	19.782	-0.10979	0.	2.902	5.9106	3.7869	1.7845	4.0306
4.8892	19.888	-0.11223	0.	2.902	6.2005	4.0594	2.177	4.3538
4.9955	19.994	-0.11467	0.	2.902	6.4903	4.3342	2.5535	4.6397
5.1018	20.1	-0.11711	0.	2.902	6.7802	4.6109	2.9184	4.8878
