	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.7234	-0.62806	-5.5525	0.365	0.	0.	-0.30763	-1.0438	-5.5525	5.2448	4.9182
Bending (Inside)	-5.2539e-002	-5.734	-13.638	0.	0.	0.	-5.2539e-002	-5.734	-13.638	13.585	11.818
Bending (Outside)	1.0378	5.2017	13.638	0.	0.	0.	13.638	5.2017	1.0378	12.6	11.119
Membrane+Bending (Inside)	-0.77593	-6.362	-19.19	0.365	0.	0.	-0.75219	-6.3858	-19.19	18.438	16.365
Membrane+Bending (Center)	-0.23074	-0.89421	-5.5525	0.365	0.	0.	-6.9251e-002	-1.0557	-5.5525	5.4832	5.0626
Membrane+Bending (Outside)	0.31445	4.5736	8.0854	0.365	0.	0.	8.0854	4.6047	0.2834	7.802	6.7697
Peak (Inside)	0.	-0.48518	-12.214	1.4039	0.	0.	1.1821	-1.6673	-12.214	13.396	12.223
Peak (Center)	-0.64568	0.1751	2.734	0.17772	0.	0.	2.734	0.21193	-0.68251	3.4165	3.0687
Peak (Outside)	-5.8208e-017	-0.44764	-4.3663	-1.5072	0.	0.	1.2999	-1.7475	-4.3663	5.6662	4.9117
Total (Inside)	-0.77593	-6.8472	-31.404	1.7689	0.	0.	-0.29815	-7.325	-31.404	31.106	28.256
Total (Center)	-0.87642	-0.71911	-2.8184	0.54272	0.	0.	-0.24937	-1.3462	-2.8184	2.5691	2.2328
Total (Outside)	0.31445	4.126	3.7191	-1.1422	0.	0.	4.442	3.7191	-1.6119e-003	4.4436	4.1299

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.178	-1.0635	0.	4.9182	11.818	16.365	12.223	28.256
0.10815	15.286	-1.0648	0.	4.9182	11.341	15.89	9.7602	25.336
0.2163	15.395	-1.0661	0.	4.9182	10.864	15.415	7.3326	22.446
0.32445	15.503	-1.0674	0.	4.9182	10.388	14.94	4.9528	19.586
0.4326	15.611	-1.0687	0.	4.9182	9.9111	14.465	3.2674	17.382
0.54075	15.719	-1.07	0.	4.9182	9.4347	13.99	2.1942	15.728
0.6489	15.827	-1.0713	0.	4.9182	8.9584	13.516	1.385	14.142
0.75705	15.935	-1.0726	0.	4.9182	8.4821	13.042	1.2239	12.671
0.8652	16.043	-1.0739	0.	4.9182	8.006	12.567	1.5012	11.611
0.97335	16.151	-1.0752	0.	4.9182	7.53	12.094	1.9313	10.552
1.0815	16.26	-1.0765	0.	4.9182	7.0542	11.62	2.3794	9.5514
1.1897	16.368	-1.0778	0.	4.9182	6.5786	11.147	2.6874	8.7202
1.2978	16.476	-1.0791	0.	4.9182	6.1033	10.674	2.975	7.9284
1.406	16.584	-1.0804	0.	4.9182	5.6283	10.201	3.2423	7.1692
1.5141	16.692	-1.0817	0.	4.9182	5.1537	9.7292	3.4238	6.5034
1.6223	16.8	-1.0829	0.	4.9182	4.6796	9.2577	3.4799	5.9658
1.7304	16.908	-1.0842	0.	4.9182	4.2063	8.7868	3.5369	5.4297
1.8386	17.017	-1.0855	0.	4.9182	3.7339	8.3166	3.5948	4.8956
1.9467	17.125	-1.0868	0.	4.9182	3.263	7.8473	3.6536	4.3643
2.0549	17.233	-1.0881	0.	4.9182	2.7943	7.379	3.6044	3.9461
2.163	17.341	-1.0894	0.	4.9182	2.329	6.9119	3.5197	3.5679
2.2712	17.449	-1.0907	0.	4.9182	1.8698	6.4463	3.4348	3.1952
2.3793	17.557	-1.092	0.	4.9182	1.4224	5.9825	3.35	2.8301
2.4875	17.665	-1.0933	0.	4.9182	1.0031	5.5211	3.2545	2.4851
2.5956	17.774	-1.0946	0.	4.9182	0.66683	5.0626	3.0687	2.2328
2.7038	17.882	-1.0959	0.	4.9182	0.58193	4.6079	2.8833	1.9959
2.8119	17.99	-1.0972	0.	4.9182	0.82957	4.1582	2.6984	1.7808
2.9201	18.098	-1.0985	0.	4.9182	1.222	3.7155	2.5142	1.5962
3.0282	18.206	-1.0998	0.	4.9182	1.6595	3.2824	2.3234	1.4576
3.1364	18.314	-1.1011	0.	4.9182	2.1143	2.8634	2.0721	1.396
3.2445	18.422	-1.1024	0.	4.9182	2.5772	2.4657	1.8238	1.3787
