	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.56295	-0.65289	-5.3955	0.14225	0.	0.	-0.45874	-0.75711	-5.3955	4.9368	4.7946
Bending (Inside)	-0.2219	-5.9981	-13.025	0.	0.	0.	-0.2219	-5.9981	-13.025	12.803	11.105
Bending (Outside)	0.85228	5.4426	13.025	0.	0.	0.	13.025	5.4426	0.85228	12.173	10.648
Membrane+Bending (Inside)	-0.78485	-6.651	-18.421	0.14225	0.	0.	-0.78141	-6.6544	-18.421	17.639	15.558
Membrane+Bending (Center)	-0.24776	-0.93063	-5.3955	0.14225	0.	0.	-0.21932	-0.95908	-5.3955	5.1762	4.8489
Membrane+Bending (Outside)	0.28933	4.7897	7.6295	0.14225	0.	0.	7.6295	4.7942	0.28483	7.3446	6.4155
Peak (Inside)	0.	0.12407	-9.7458	0.76756	0.	0.	0.83209	-0.70802	-9.7458	10.578	9.8981
Peak (Center)	-0.46165	-1.5943e-002	2.4516	0.14741	0.	0.	2.4516	2.8396e-002	-0.50599	2.9576	2.7299
Peak (Outside)	5.8208e-017	-7.6043e-002	-3.9411	-1.3445	0.	0.	1.307	-1.383	-3.9411	5.248	4.5454
Total (Inside)	-0.78485	-6.5269	-28.166	0.9098	0.	0.	-0.64415	-6.6676	-28.166	27.522	25.059
Total (Center)	-0.70942	-0.94657	-2.9439	0.28965	0.	0.	-0.51501	-1.141	-2.9439	2.4289	2.1843
Total (Outside)	0.28933	4.7137	3.6884	-1.2022	0.	0.	5.0193	3.6884	-1.6246e-002	5.0355	4.5195

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.064	-0.53596	0.	4.7946	11.105	15.558	9.8981	25.059
0.10702	15.171	-0.53507	0.	4.7946	10.653	15.107	8.1535	22.904
0.21403	15.278	-0.53418	0.	4.7946	10.201	14.656	6.3835	20.723
0.32105	15.385	-0.53329	0.	4.7946	9.7484	14.206	4.5944	18.514
0.42806	15.492	-0.5324	0.	4.7946	9.2962	13.756	3.1634	16.639
0.53508	15.599	-0.53151	0.	4.7946	8.844	13.305	2.0392	15.035
0.64209	15.706	-0.53062	0.	4.7946	8.3918	12.856	1.1883	13.619
0.74911	15.813	-0.52973	0.	4.7946	7.9398	12.406	0.79099	12.351
0.85613	15.92	-0.52884	0.	4.7946	7.4878	11.956	0.94748	11.368
0.96314	16.027	-0.52795	0.	4.7946	7.0359	11.507	1.3086	10.411
1.0702	16.134	-0.52706	0.	4.7946	6.5842	11.058	1.7292	9.4781
1.1772	16.241	-0.52617	0.	4.7946	6.1326	10.61	2.1578	8.5702
1.2842	16.348	-0.52528	0.	4.7946	5.6812	10.161	2.3792	7.8909
1.3912	16.455	-0.52439	0.	4.7946	5.23	9.7135	2.5874	7.2282
1.4982	16.562	-0.5235	0.	4.7946	4.7792	9.2662	2.7876	6.5758
1.6052	16.669	-0.52261	0.	4.7946	4.3287	8.8194	2.9794	5.9337
1.7123	16.776	-0.52172	0.	4.7946	3.8788	8.3733	3.0202	5.4421
1.8193	16.883	-0.52083	0.	4.7946	3.4296	7.9279	3.0612	4.9513
1.9263	16.99	-0.51994	0.	4.7946	2.9815	7.4834	3.1023	4.4614
2.0333	17.097	-0.51905	0.	4.7946	2.5351	7.04	3.1434	3.9727
2.1403	17.204	-0.51816	0.	4.7946	2.0915	6.5978	3.0831	3.5862
