	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.67428	-0.63416	-5.8188	0.26552	0.	0.	-0.38794	-0.9205	-5.8188	5.4308	5.1851
Bending (Inside)	-0.28883	-5.8114	-14.109	0.	0.	0.	-0.28883	-5.8114	-14.109	13.82	12.049
Bending (Outside)	1.0214	5.2697	14.109	0.	0.	0.	14.109	5.2697	1.0214	13.088	11.565
Membrane+Bending (Inside)	-0.96311	-6.4456	-19.928	0.26552	0.	0.	-0.95028	-6.4584	-19.928	18.978	16.91
Membrane+Bending (Center)	-0.30799	-0.90503	-5.8188	0.26552	0.	0.	-0.20699	-1.006	-5.8188	5.6118	5.258
Membrane+Bending (Outside)	0.34713	4.6355	8.2905	0.26552	0.	0.	8.2905	4.6519	0.33075	7.9597	6.9018
Peak (Inside)	0.	-0.26098	-14.156	1.2061	0.	0.	1.0826	-1.3436	-14.156	15.238	14.182
Peak (Center)	-0.51538	0.10455	2.8753	0.18073	0.	0.	2.8753	0.15339	-0.56422	3.4395	3.1428
Peak (Outside)	0.	-0.35063	-4.6052	-1.49	0.	0.	1.325	-1.6756	-4.6052	5.9301	5.1358
Total (Inside)	-0.96311	-6.7066	-34.084	1.4716	0.	0.	-0.608	-7.0617	-34.084	33.476	30.761
Total (Center)	-0.82337	-0.80048	-2.9435	0.44625	0.	0.	-0.36552	-1.2583	-2.9435	2.578	2.2675
Total (Outside)	0.34713	4.2849	3.6853	-1.2245	0.	0.	4.6346	3.6853	-2.5764e-003	4.6372	4.243

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.115	-0.80108	0.	5.1851	12.049	16.91	14.182	30.761
0.10826	15.223	-0.80326	0.	5.1851	11.558	16.421	11.107	27.228
0.21653	15.331	-0.80544	0.	5.1851	11.067	15.931	8.0869	23.746
0.32479	15.44	-0.80762	0.	5.1851	10.576	15.442	5.1333	20.314
0.43305	15.548	-0.80981	0.	5.1851	10.085	14.953	3.3879	18.052
0.54131	15.656	-0.81199	0.	5.1851	9.5941	14.464	2.1776	16.267
0.64958	15.764	-0.81417	0.	5.1851	9.1033	13.975	1.2459	14.53
0.75784	15.873	-0.81635	0.	5.1851	8.6125	13.486	1.169	13.003
0.8661	15.981	-0.81853	0.	5.1851	8.1219	12.997	1.5019	11.928
0.97437	16.089	-0.82071	0.	5.1851	7.6314	12.509	1.9579	10.86
1.0826	16.197	-0.82289	0.	5.1851	7.141	12.021	2.4652	9.7998
1.1909	16.306	-0.82507	0.	5.1851	6.6508	11.533	2.8405	8.9032
1.2992	16.414	-0.82725	0.	5.1851	6.1607	11.046	3.0622	8.1742
1.4074	16.522	-0.82944	0.	5.1851	5.671	10.559	3.2714	7.4631
1.5157	16.63	-0.83162	0.	5.1851	5.1815	10.073	3.4713	6.7655
1.6239	16.739	-0.8338	0.	5.1851	4.6925	9.5865	3.5836	6.1579
1.7322	16.847	-0.83598	0.	5.1851	4.2041	9.101	3.62	5.6271
1.8405	16.955	-0.83816	0.	5.1851	3.7165	8.6163	3.657	5.0976
1.9487	17.063	-0.84034	0.	5.1851	3.2301	8.1323	3.6934	4.5708
2.057	17.171	-0.84252	0.	5.1851	2.7455	7.6493	3.6967	4.0802
2.1653	17.28	-0.8447	0.	5.1851	2.2639	7.1675	3.5994	3.6939
